#Site-label   Center(X)   Center(Y)   Center(Z)  Site-Type   N-Neighbors   Occupancy  Site-Amplitud
    376      16.484615   24.561538   13.169231       0           4        0.420757     0.654253   
    377      17.231579    0.972632    5.006316       1           2        0.870194     1.214343   
    378      17.202273    0.981818   18.054545       1           2        0.961580     1.016966   
    379      17.229268    5.873171   11.539024       1           2        0.900473     1.000086   
    380      17.204494   12.379775    1.782022       1           2        0.925306     1.001050   
    381      17.195556   12.373333   14.760000       1           2        0.943043     1.025290   
    382      17.208889   13.993333    5.102222       1           2        0.946141     1.067039   
    383      17.195349   13.990698   18.113953       1           2        0.947640     0.908910   
    384      17.193407   18.881319   11.597802       1           2        0.969625     1.034812   
    385      17.190476   18.850000   24.604762       1           2        0.958033     0.993668   
    386      17.195349   20.497674    8.267442       1           2        0.941394     1.059253   
    387      17.182418   20.494505   21.263736       1           2        0.948739     1.071358   
    388      17.204598   25.404598    1.806897       1           2        0.951687     0.989182   
    389      17.206522   25.389130   14.791304       1           2        0.925456     0.988751   
    390      17.238554    5.896386   24.515663       1           2        0.914463     0.962707   
    391      17.229545    7.429545    8.345455       1           2        0.938197     1.102556   
    392      17.223256    7.437209   21.358140       1           2        0.925655     1.108510   
    393      17.932584    2.593258   20.426966       1           2        0.874091     1.128354   
    394      18.059770    2.639080    7.464368       1           2        0.847910     1.071277   
    395      18.127273    4.184091    0.995455       1           2        0.903571     1.035778   
    396      18.058824    4.216471   13.985882       1           2        0.882735     1.016650   
    397      18.060870    9.136957    5.886957       1           2        0.937497     1.061798   
    398      18.101149    9.160920   18.852874       1           2        0.963429     1.030936   
    399      17.969048   10.742857   12.423810       1           2        0.903271     0.993805   
    400      18.038554   10.706024   25.392771       1           2        0.910916     0.995052   
    401      18.016092   15.602299    7.439080       1           2        0.963829     1.010268   
    402      17.981609   15.606897   20.422989       1           2        0.915013     0.983072   
    403      18.066667   17.212903    0.976344       1           2        0.946241     1.021073   
    404      18.076744   17.223256   13.981395       1           2        0.935449     1.027657   
    405      18.029545   22.143182    5.884091       1           2        0.939446     1.040668   
    406      18.044186   22.132558   18.881395       1           2        0.913164     1.103108   
    407      18.030233   23.755814   12.390698       1           2        0.894777     1.026701   
    408      18.012195   23.756098   25.409756       1           2        0.848259     1.004490   
    409      18.030769    0.184615    3.496154       0           4        0.401520     0.680248   
    410      18.035714    0.135714   16.396429       0           4        0.418459     0.690543   
    411      18.026087    6.713043    9.969565       0           4        0.293795     0.618936   
    412      18.021277    6.663830   22.910638       0           4        0.256122     0.611731   
    413      18.037736   13.207547    3.377358       0           4        0.565756     0.716723   
    414      18.046154   13.234615   16.400000       0           4        0.553864     0.709456   
